t,s	beta=200, m=067,  v=30m/s
0.00000E+00	0.00000E+00
1.00000E+00	0.00000E+00
2.00000E+00	0.00000E+00
3.00000E+00	0.00000E+00
4.00000E+00	0.00000E+00
4.10716E+00	0.00000E+00
4.21431E+00	0.00000E+00
4.32147E+00	0.00000E+00
4.42863E+00	0.00000E+00
4.53578E+00	0.00000E+00
4.64294E+00	0.00000E+00
4.75010E+00	0.00000E+00
4.85725E+00	0.00000E+00
4.87699E+00	0.00000E+00
4.89672E+00	0.00000E+00
4.91646E+00	0.00000E+00
4.93620E+00	0.00000E+00
4.94053E+00	0.00000E+00
4.94486E+00	0.00000E+00
4.94919E+00	0.00000E+00
4.95352E+00	0.00000E+00
4.95785E+00	0.00000E+00
4.96218E+00	0.00000E+00
4.96651E+00	0.00000E+00
4.97084E+00	0.00000E+00
4.97502E+00	0.00000E+00
4.97921E+00	0.00000E+00
4.98339E+00	0.00000E+00
4.98758E+00	0.00000E+00
4.98950E+00	0.00000E+00
4.99142E+00	0.00000E+00
4.99334E+00	0.00000E+00
4.99526E+00	0.00000E+00
4.99593E+00	0.00000E+00
4.99661E+00	0.00000E+00
4.99728E+00	0.00000E+00
4.99795E+00	0.00000E+00
4.99847E+00	0.00000E+00
4.99899E+00	0.00000E+00
4.99951E+00	0.00000E+00
5.00003E+00	0.00000E+00
5.00055E+00	3.51982E-11
5.00107E+00	5.23903E-10
5.00159E+00	2.07245E-09
5.00211E+00	5.32938E-09
5.00267E+00	1.11321E-08
5.00323E+00	1.96410E-08
5.00378E+00	3.14709E-08
5.00434E+00	4.72347E-08
5.00576E+00	1.09247E-07
5.00718E+00	2.10692E-07
5.00860E+00	3.61374E-07
5.01002E+00	5.70702E-07
5.01268E+00	1.15137E-06
5.01534E+00	2.02587E-06
5.01800E+00	3.24516E-06
5.02066E+00	4.85232E-06
5.02434E+00	7.77691E-06
5.02801E+00	1.15848E-05
5.03169E+00	1.63174E-05
5.03536E+00	2.19769E-05
5.03759E+00	2.58512E-05
5.03983E+00	3.00412E-05
5.04206E+00	3.45252E-05
5.04429E+00	3.92749E-05
5.04593E+00	4.29342E-05
5.04758E+00	4.66960E-05
5.04923E+00	5.05251E-05
5.05088E+00	5.43870E-05
5.05252E+00	5.82550E-05
5.05417E+00	6.21115E-05
5.05582E+00	6.59362E-05
5.05746E+00	6.97093E-05
5.05889E+00	7.29191E-05
5.06032E+00	7.60625E-05
5.06174E+00	7.91260E-05
5.06317E+00	8.20972E-05
5.06459E+00	8.49652E-05
5.06602E+00	8.77206E-05
5.06744E+00	9.03537E-05
5.06887E+00	9.28552E-05
5.07119E+00	9.66197E-05
5.07351E+00	9.99762E-05
5.07583E+00	1.02892E-04
5.07815E+00	1.05338E-04
5.08233E+00	1.08482E-04
5.08652E+00	1.09885E-04
5.09070E+00	1.09451E-04
5.09489E+00	1.07120E-04
5.09702E+00	1.05193E-04
5.09915E+00	1.02762E-04
5.10128E+00	9.98317E-05
5.10341E+00	9.64104E-05
5.10554E+00	9.25164E-05
5.10767E+00	8.81765E-05
5.10980E+00	8.34193E-05
5.11193E+00	7.82735E-05
5.11464E+00	7.12156E-05
5.11735E+00	6.36398E-05
5.12006E+00	5.55972E-05
5.12277E+00	4.71325E-05
5.12540E+00	3.85457E-05
5.12803E+00	2.95935E-05
5.13066E+00	2.02596E-05
5.13329E+00	1.05193E-05
5.13612E+00	-4.38831E-07
5.13894E+00	-1.19625E-05
5.14177E+00	-2.41215E-05
5.14460E+00	-3.69909E-05
5.14852E+00	-5.62026E-05
5.15245E+00	-7.71761E-05
5.15638E+00	-1.00150E-04
5.16031E+00	-1.25354E-04
5.16514E+00	-1.59750E-04
5.16997E+00	-1.98235E-04
5.17481E+00	-2.41120E-04
5.17964E+00	-2.88626E-04
5.18438E+00	-3.39904E-04
5.18913E+00	-3.95791E-04
5.19388E+00	-4.56214E-04
5.19862E+00	-5.21013E-04
5.20337E+00	-5.89953E-04
5.20812E+00	-6.62685E-04
5.21286E+00	-7.38836E-04
5.21761E+00	-8.18062E-04
5.22070E+00	-8.71215E-04
5.22380E+00	-9.25452E-04
5.22689E+00	-9.80743E-04
5.22999E+00	-1.03705E-03
5.23308E+00	-1.09435E-03
5.23618E+00	-1.15269E-03
5.23928E+00	-1.21211E-03
5.24237E+00	-1.27267E-03
5.24446E+00	-1.31430E-03
5.24656E+00	-1.35650E-03
5.24865E+00	-1.39930E-03
5.25075E+00	-1.44272E-03
5.25129E+00	-1.45403E-03
5.25183E+00	-1.46537E-03
5.25237E+00	-1.47676E-03
5.25291E+00	-1.48820E-03
5.25345E+00	-1.49968E-03
5.25399E+00	-1.51120E-03
5.25453E+00	-1.52277E-03
5.25507E+00	-1.53438E-03
5.25555E+00	-1.54495E-03
5.25604E+00	-1.55557E-03
5.25653E+00	-1.56621E-03
5.25702E+00	-1.57690E-03
5.25765E+00	-1.59052E-03
5.25827E+00	-1.60420E-03
5.25889E+00	-1.61794E-03
5.25951E+00	-1.63174E-03
5.26067E+00	-1.65762E-03
5.26183E+00	-1.68370E-03
5.26298E+00	-1.70999E-03
5.26414E+00	-1.73649E-03
5.26732E+00	-1.81023E-03
5.27049E+00	-1.88536E-03
5.27367E+00	-1.96180E-03
5.27685E+00	-2.03944E-03
5.27945E+00	-2.10384E-03
5.28205E+00	-2.16900E-03
5.28465E+00	-2.23490E-03
5.28725E+00	-2.30148E-03
5.28865E+00	-2.33753E-03
5.29004E+00	-2.37375E-03
5.29144E+00	-2.41016E-03
5.29284E+00	-2.44674E-03
5.29423E+00	-2.48349E-03
5.29563E+00	-2.52040E-03
5.29703E+00	-2.55746E-03
5.29843E+00	-2.59466E-03
5.30027E+00	-2.64398E-03
5.30212E+00	-2.69351E-03
5.30396E+00	-2.74325E-03
5.30581E+00	-2.79320E-03
5.30923E+00	-2.88638E-03
5.31265E+00	-2.98028E-03
5.31608E+00	-3.07490E-03
5.31950E+00	-3.17028E-03
5.32472E+00	-3.31719E-03
5.32993E+00	-3.46618E-03
5.33515E+00	-3.61756E-03
5.34037E+00	-3.77163E-03
5.34295E+00	-3.84906E-03
5.34554E+00	-3.92733E-03
5.34812E+00	-4.00653E-03
5.35071E+00	-4.08674E-03
5.35329E+00	-4.16802E-03
5.35588E+00	-4.25045E-03
5.35846E+00	-4.33404E-03
5.36105E+00	-4.41878E-03
5.36388E+00	-4.51297E-03
5.36671E+00	-4.60848E-03
5.36955E+00	-4.70528E-03
5.37238E+00	-4.80331E-03
5.37538E+00	-4.90829E-03
5.37837E+00	-5.01452E-03
5.38137E+00	-5.12193E-03
5.38436E+00	-5.23045E-03
5.38736E+00	-5.33998E-03
5.39036E+00	-5.45040E-03
5.39335E+00	-5.56165E-03
5.39635E+00	-5.67370E-03
5.39995E+00	-5.80918E-03
5.40354E+00	-5.94579E-03
5.40714E+00	-6.08350E-03
5.41073E+00	-6.22232E-03
5.41420E+00	-6.35726E-03
5.41767E+00	-6.49323E-03
5.42114E+00	-6.63025E-03
5.42461E+00	-6.76832E-03
5.42807E+00	-6.90747E-03
5.43154E+00	-7.04772E-03
5.43501E+00	-7.18909E-03
5.43848E+00	-7.33161E-03
5.44129E+00	-7.44806E-03
5.44410E+00	-7.56531E-03
5.44692E+00	-7.68337E-03
5.44973E+00	-7.80222E-03
5.45254E+00	-7.92188E-03
5.45535E+00	-8.04231E-03
5.45816E+00	-8.16348E-03
5.46098E+00	-8.28534E-03
5.46300E+00	-8.37329E-03
5.46502E+00	-8.46151E-03
5.46704E+00	-8.54997E-03
5.46906E+00	-8.63861E-03
5.47108E+00	-8.72739E-03
5.47310E+00	-8.81629E-03
5.47512E+00	-8.90529E-03
5.47714E+00	-8.99435E-03
5.47986E+00	-9.11429E-03
5.48258E+00	-9.23423E-03
5.48530E+00	-9.35412E-03
5.48802E+00	-9.47389E-03
5.49077E+00	-9.59475E-03
5.49352E+00	-9.71538E-03
5.49627E+00	-9.83573E-03
5.49901E+00	-9.95575E-03
5.50141E+00	-1.00601E-02
5.50381E+00	-1.01641E-02
5.50620E+00	-1.02679E-02
5.50860E+00	-1.03713E-02
5.51112E+00	-1.04796E-02
5.51364E+00	-1.05874E-02
5.51616E+00	-1.06947E-02
5.51869E+00	-1.08014E-02
5.52043E+00	-1.08748E-02
5.52218E+00	-1.09480E-02
5.52392E+00	-1.10207E-02
5.52567E+00	-1.10931E-02
5.52742E+00	-1.11651E-02
5.52916E+00	-1.12367E-02
5.53091E+00	-1.13078E-02
5.53266E+00	-1.13784E-02
5.53543E+00	-1.14898E-02
5.53821E+00	-1.15999E-02
5.54099E+00	-1.17088E-02
5.54377E+00	-1.18165E-02
5.54736E+00	-1.19537E-02
5.55094E+00	-1.20888E-02
5.55453E+00	-1.22219E-02
5.55812E+00	-1.23531E-02
5.56264E+00	-1.25159E-02
5.56716E+00	-1.26758E-02
5.57168E+00	-1.28331E-02
5.57621E+00	-1.29877E-02
5.58077E+00	-1.31413E-02
5.58532E+00	-1.32922E-02
5.58988E+00	-1.34402E-02
5.59444E+00	-1.35851E-02
5.59825E+00	-1.37038E-02
5.60206E+00	-1.38203E-02
5.60587E+00	-1.39343E-02
5.60968E+00	-1.40459E-02
5.61519E+00	-1.42030E-02
5.62070E+00	-1.43547E-02
5.62621E+00	-1.45011E-02
5.63172E+00	-1.46422E-02
5.63693E+00	-1.47708E-02
5.64214E+00	-1.48946E-02
5.64735E+00	-1.50139E-02
5.65256E+00	-1.51287E-02
5.65696E+00	-1.52223E-02
5.66136E+00	-1.53133E-02
5.66575E+00	-1.54018E-02
5.67015E+00	-1.54879E-02
5.67290E+00	-1.55404E-02
5.67565E+00	-1.55917E-02
5.67840E+00	-1.56419E-02
5.68114E+00	-1.56909E-02
5.68389E+00	-1.57385E-02
5.68664E+00	-1.57848E-02
5.68939E+00	-1.58295E-02
5.69214E+00	-1.58727E-02
5.69577E+00	-1.59274E-02
5.69940E+00	-1.59793E-02
5.70303E+00	-1.60282E-02
5.70667E+00	-1.60741E-02
5.71209E+00	-1.61370E-02
5.71750E+00	-1.61931E-02
5.72292E+00	-1.62421E-02
5.72834E+00	-1.62842E-02
5.73195E+00	-1.63084E-02
5.73557E+00	-1.63293E-02
5.73919E+00	-1.63471E-02
5.74281E+00	-1.63617E-02
5.74547E+00	-1.63704E-02
5.74813E+00	-1.63773E-02
5.75079E+00	-1.63825E-02
